CustomerID,Tenure_Months,ContractType,SupportTickets,MonthlyCharges,CLV,Churn
10001,7,Monthly,0,57.69,371.51,1
10002,20,Monthly,1,85.22,1686.83,1
10003,15,Annual,1,110.8,1441.35,0
10004,11,Monthly,4,102.88,1065.98,1
10005,8,Annual,2,82.47,633.38,0
10006,21,Monthly,0,95.71,1654.07,1
10007,7,Annual,2,62.82,454.42,0
10008,19,Monthly,1,87.68,1921.97,1
10009,23,Monthly,3,71.95,1424.25,1
10010,11,Monthly,1,47.08,538.19,0
10011,11,Annual,0,93.15,1092.13,0
10012,21,Annual,1,80.07,1627.25,1
10013,4,Monthly,0,62.27,269.1,0
10014,8,Monthly,1,112.01,864.09,0
10015,3,Annual,0,31.87,95.8,0
10016,22,Monthly,2,58.41,1031.79,1
10017,21,Annual,2,35.11,793.84,0
10018,2,Monthly,2,98.98,210.73,1
10019,12,Monthly,0,93.18,911.7,1
10020,6,Monthly,1,59.81,339.96,1
10021,2,Monthly,2,90.8,216.4,1
10022,21,Annual,1,65.62,1334.42,0
10023,1,Monthly,5,98.05,98.13,1
10024,12,Monthly,2,70.87,989.84,1
10025,22,Annual,1,67.1,1604.37,0
10026,12,Monthly,3,114.12,1414.34,1
10027,17,Monthly,3,52.57,1000.13,1
10028,10,Annual,1,40.83,467.81,0
10029,16,Annual,3,82.6,1298.79,1
10030,15,Monthly,0,117.23,1740.93,0
10031,15,Annual,1,64.0,916.18,0
10032,19,Annual,0,35.57,802.07,0
10033,12,Monthly,0,60.53,783.61,0
10034,23,Monthly,3,75.52,1447.46,1
10035,20,Annual,2,44.56,1020.66,0
10036,3,Annual,0,89.22,265.58,0
10037,5,Monthly,0,119.79,495.62,1
10038,19,Annual,0,70.65,1368.98,0
10039,7,Annual,2,61.92,419.05,0
10040,21,Monthly,0,66.05,1596.71,0
10041,9,Monthly,0,40.35,320.18,0
10042,7,Monthly,2,109.48,866.47,1
10043,18,Annual,2,67.32,1239.8,0
10044,4,Monthly,0,64.84,213.17,1
10045,14,Monthly,3,89.36,1487.19,0
10046,18,Annual,0,69.77,1262.25,0
10047,9,Annual,3,88.33,728.48,1
10048,21,Monthly,3,35.52,736.8,1
10049,2,Annual,1,103.23,236.0,0
10050,20,Monthly,2,114.64,2113.79,1
10051,15,Annual,1,88.38,1162.72,0
10052,7,Monthly,3,115.9,690.93,0
10053,12,Monthly,0,43.62,481.1,0
10054,8,Annual,0,72.96,649.04,0
10055,15,Monthly,2,84.15,1247.96,0
10056,3,Monthly,4,82.35,220.11,1
10057,14,Annual,3,66.12,802.1,0
10058,17,Annual,2,60.42,958.38,0
10059,4,Annual,3,41.4,194.76,1
10060,18,Annual,0,65.25,1100.7,0
10061,8,Monthly,0,44.63,426.75,1
10062,4,Monthly,2,96.08,382.06,0
10063,2,Monthly,3,48.78,85.05,1
10064,6,Monthly,2,35.26,244.67,1
10065,22,Annual,3,79.7,1725.66,0
10066,10,Monthly,1,83.56,905.69,0
10067,4,Monthly,1,108.46,517.79,1
10068,22,Monthly,1,81.92,1477.93,0
10069,18,Annual,1,61.08,922.13,1
10070,12,Monthly,2,102.26,1335.34,0
10071,2,Monthly,3,78.62,143.51,1
10072,10,Monthly,2,37.13,324.37,0
10073,4,Annual,0,80.92,264.03,1
10074,14,Monthly,1,111.71,1264.84,0
10075,16,Annual,1,65.66,1165.87,0
10076,15,Annual,2,56.66,725.61,0
10077,8,Monthly,0,42.9,338.79,0
10078,14,Annual,3,43.62,636.55,0
10079,23,Annual,3,68.94,1540.16,1
10080,8,Annual,1,83.6,542.3,0
10081,21,Monthly,1,37.25,870.85,1
10082,16,Monthly,1,114.55,1473.96,0
10083,13,Annual,1,97.95,1406.77,0
10084,18,Monthly,2,82.79,1724.58,1
10085,15,Annual,0,104.55,1526.11,0
10086,21,Annual,2,37.21,792.45,0
